"Name","AnimalType","AgeinDays","HasName","Hour","Minute","Weekday","Day","Month","Year","TimeofDay","ColorComplexity","BreedComplexity","IsMix","SimpleBreed","SimpleColor","Intact","Sex","LifeStage","OutcomeType"
"Miko","Cat","2555",1,16,1,"7",19,"10","2014","lateday","5","22",1,"Domestic Shorthair","Black",0,"Male","adult","Adoption"
"Bowser","Dog","365",1,16,44,"7",23,"3","2014","lateday","11","22",1,"Basset Hound","Black",0,"Male","baby","Adoption"
"Nameless","Dog","120",0,16,58,"2",15,"4","2014","lateday","3","24",1,"Jack Russell Terrier","Tan",1,"Female","baby","Transfer"
"Nameless","Cat","14",0,19,21,"3",2,"10","2013","lateday","10","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Ellie","Dog","120",1,15,51,"1",18,"5","2015","midday","11","17",1,"Border Collie","Black",0,"Female","baby","Transfer"
"Zipper","Dog","300",1,17,27,"3",17,"12","2014","lateday","9","18",1,"Catahoula","Tan",0,"Male","baby","Adoption"
"Nameless","Cat","3",0,18,42,"6",30,"5","2015","lateday","11","22",1,"Domestic Shorthair","Brown",3,"Unknown","baby","Transfer"
"Nameless","Dog","60",0,17,0,"3",7,"1","2015","lateday","8","13",1,"Catahoula","Tricolor",0,"Female","baby","Adoption"
"Hector","Dog","300",1,11,20,"4",2,"1","2014","night","11","12",1,"Pit Bull","White",0,"Male","baby","Transfer"
"Dos","Dog","730",1,12,14,"2",31,"12","2013","midday","11","20",1,"American Bulldog","White",0,"Male","adult","Return_to_owner"
"Leia","Cat","60",1,15,28,"1",15,"9","2014","midday","10","11",1,"Siamese","Lynx",1,"Female","baby","Transfer"
"Nameless","Cat","120",0,11,20,"2",18,"8","2015","night","10","22",1,"Domestic Shorthair","Blue",0,"Female","baby","Adoption"
"Nameless","Cat","365",0,13,32,"6",22,"3","2014","midday","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Moon","Dog","60",1,13,25,"2",19,"8","2014","midday","11","15",0,"German Shepherd","Cream",1,"Female","baby","Adoption"
"Si","Dog","730",1,11,46,"2",14,"7","2015","night","11","21",1,"Yorkshire Terrier","Black",1,"Female","adult","Transfer"
"Nameless","Cat","365",0,9,0,"5",6,"3","2015","morning","6","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Transfer"
"Nameless","Cat","4",0,16,2,"5",18,"7","2014","lateday","5","22",1,"Domestic Shorthair","White",3,"Unknown","baby","Transfer"
"Cassi","Cat","240",1,14,22,"6",26,"12","2015","midday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","baby","Adoption"
"Armen","Cat","90",1,16,1,"7",6,"12","2015","lateday","11","22",1,"Domestic Shorthair","Brown",0,"Male","baby","Adoption"
"Libby","Cat","30",1,13,48,"1",17,"8","2015","midday","6","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Adoption"
"Miloe","Dog","1460",1,14,4,"1",17,"2","2014","midday","9","21",1,"Yorkshire Terrier","Tan",0,"Male","adult","Return_to_owner"
"Melissa","Dog","4380",1,15,2,"5",1,"5","2015","midday","10","13",1,"Dachshund","Blue",0,"Female","adult","Transfer"
"Eve","Cat","60",1,13,3,"6",24,"5","2014","midday","5","22",1,"Domestic Shorthair","Black",0,"Female","baby","Adoption"
"Georgia","Cat","60",1,17,22,"1",22,"12","2014","lateday","10","22",1,"Domestic Shorthair","Blue",0,"Female","baby","Adoption"
"Aldo","Dog","730",1,14,22,"1",24,"11","2014","midday","5","20",1,"Miniature Poodle","White",0,"Male","adult","Adoption"
"Piper","Dog","1095",1,13,54,"2",16,"6","2015","midday","19","12",1,"Pit Bull","White",0,"Female","adult","Return_to_owner"
"Cheyenne","Dog","120",1,8,36,"3",23,"7","2014","morning","10","12",1,"Pit Bull","Blue",1,"Female","baby","Euthanasia"
"Nameless","Dog","120",0,16,32,"2",6,"1","2015","lateday","4","23",1,"Chihuahua Shorthair","Fawn",0,"Female","baby","Return_to_owner"
"Ginger","Dog","1095",1,12,2,"1",16,"3","2015","midday","11","22",1,"Labrador Retriever","Brown",0,"Female","adult","Adoption"
"Gigi","Dog","365",1,14,27,"7",12,"10","2014","midday","11","12",1,"Pit Bull","White",0,"Female","baby","Adoption"
"Nameless","Dog","1095",0,14,32,"5",8,"5","2015","midday","5","23",1,"Chihuahua Shorthair","Brown",0,"Female","adult","Return_to_owner"
"Nameless","Cat","14",0,13,33,"1",27,"4","2015","midday","6","22",1,"Domestic Shorthair","Calico",1,"Female","baby","Transfer"
"Bartleby","Dog","730",1,11,32,"1",20,"1","2014","night","5","34",1,"German Shepherd","Sable",0,"Male","adult","Adoption"
"Beans","Cat","365",1,14,39,"1",28,"7","2014","midday","10","24",1,"Domestic Medium Hair","Blue",3,"Unknown","baby","Transfer"
"Ziggy","Dog","365",1,12,23,"5",29,"1","2016","midday","9","12",1,"Pit Bull","White",1,"Female","baby","Return_to_owner"
"Nameless","Cat","21",0,14,39,"5",10,"10","2014","midday","11","24",1,"Domestic Medium Hair","Brown",1,"Male","baby","Transfer"
"Nameless","Cat","21",0,10,47,"1",14,"7","2014","morning","18","22",1,"Domestic Shorthair","White",1,"Male","baby","Euthanasia"
"Nameless","Cat","14",0,14,8,"5",14,"3","2014","midday","11","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Joan H","Dog","730",1,16,1,"3",23,"7","2014","lateday","12","16",1,"Carolina Dog","Yellow",0,"Female","adult","Return_to_owner"
"Snapper","Dog","730",1,17,6,"6",28,"11","2015","lateday","11","21",1,"Pointer","Black",0,"Male","adult","Adoption"
"Cheeks","Cat","2920",1,14,42,"5",23,"10","2015","midday","5","22",1,"Domestic Shorthair","Black",0,"Male","adult","Return_to_owner"
"Pip","Dog","365",1,19,32,"7",3,"5","2015","lateday","9","22",1,"Manchester Terrier","Red",0,"Male","baby","Adoption"
"Nameless","Dog","7",0,15,7,"6",16,"1","2016","midday","11","23",1,"Chihuahua Shorthair","Brown",3,"Unknown","baby","Transfer"
"Nameless","Dog","120",0,10,58,"5",25,"10","2013","morning","19","20",1,"American Bulldog","Brown",1,"Male","baby","Transfer"
"Nameless","Dog","730",0,17,55,"5",13,"11","2015","lateday","11","13",1,"Pekingese","White",0,"Female","adult","Adoption"
"Domino","Dog","365",1,12,18,"1",16,"6","2014","midday","11","11",1,"Pointer","White",0,"Male","baby","Transfer"
"Starburst","Cat","60",1,11,13,"2",8,"7","2014","night","11","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Beau","Dog","150",1,12,54,"5",18,"10","2013","midday","9","37",1,"Australian Cattle Dog","White",0,"Male","baby","Return_to_owner"
"Cain","Dog","1460",1,15,32,"1",7,"9","2015","midday","11","34",1,"American Staffordshire Terrier","Black",1,"Male","adult","Return_to_owner"
"Nameless","Cat","365",0,16,17,"2",5,"11","2013","lateday","5","22",1,"Domestic Shorthair","Black",1,"Female","baby","Transfer"
"Nameless","Cat","120",0,17,39,"1",25,"8","2014","lateday","10","22",1,"Domestic Shorthair","Blue",1,"Female","baby","Euthanasia"
"Plex","Dog","1460",1,18,46,"5",22,"5","2015","lateday","10","12",1,"Pit Bull","Blue",1,"Male","adult","Return_to_owner"
"Cooter","Dog","730",1,15,25,"4",12,"12","2013","midday","9","12",1,"Pit Bull","White",0,"Male","adult","Euthanasia"
"Nameless","Cat","90",0,13,47,"3",11,"11","2015","midday","10","22",1,"Domestic Shorthair","Blue",0,"Male","baby","Adoption"
"Cambot","Dog","365",1,13,42,"7",1,"3","2015","midday","9","23",1,"Chihuahua Shorthair","Tan",0,"Male","baby","Adoption"
"Roscoe","Dog","365",1,18,43,"7",1,"11","2015","lateday","12","23",1,"Chihuahua Shorthair","Yellow",0,"Male","baby","Adoption"
"Arwen","Cat","120",1,13,2,"6",12,"7","2014","midday","6","22",1,"Domestic Shorthair","Calico",0,"Female","baby","Adoption"
"Nameless","Cat","730",0,11,15,"2",28,"7","2015","night","6","22",1,"Domestic Shorthair","Torbie",3,"Unknown","adult","Euthanasia"
"Tofurkey","Cat","30",1,16,49,"6",28,"11","2015","lateday","6","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Transfer"
"Nameless","Cat","365",0,9,0,"3",1,"4","2015","morning","6","22",1,"Domestic Shorthair","Calico",1,"Female","baby","Transfer"
"Jasmine","Cat","300",1,15,4,"2",2,"9","2014","midday","17","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Transfer"
"Chimi","Dog","365",1,14,38,"4",3,"9","2015","midday","3","23",1,"Chihuahua Shorthair","Red",0,"Male","baby","Transfer"
"Nameless","Cat","60",0,13,51,"1",25,"5","2015","midday","10","22",1,"Domestic Shorthair","Blue",1,"Female","baby","Transfer"
"Wynken","Cat","30",1,12,43,"2",23,"9","2014","midday","17","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Jenny","Cat","365",1,12,36,"7",7,"6","2015","midday","11","22",1,"Domestic Shorthair","Cream",1,"Female","baby","Transfer"
"Zio","Cat","60",1,8,32,"5",3,"7","2015","morning","5","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Nameless","Cat","1095",0,15,54,"1",3,"3","2014","midday","4","22",1,"Domestic Shorthair","Blue",1,"Female","adult","Transfer"
"Daisy","Dog","150",1,18,3,"1",23,"12","2013","lateday","11","9",1,"Boxer","Brown",0,"Female","baby","Adoption"
"Afina","Dog","300",1,0,0,"1",2,"11","2015","night","9","12",1,"Pit Bull","Tan",0,"Female","baby","Transfer"
"Lona","Cat","7",1,14,41,"6",5,"9","2015","midday","5","22",1,"Domestic Shorthair","White",1,"Female","baby","Transfer"
"Arielle","Cat","365",1,11,45,"5",26,"12","2014","night","11","22",1,"Domestic Shorthair","Brown",0,"Female","baby","Return_to_owner"
"Nameless","Cat","21",0,12,35,"2",27,"10","2015","midday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Transfer"
"Nameless","Cat","180",0,14,38,"7",29,"12","2013","midday","5","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Euthanasia"
"Red","Dog","2555",1,16,56,"1",30,"3","2015","lateday","9","27",1,"Boxer","Red",0,"Male","adult","Adoption"
"Poppy","Cat","730",1,17,50,"5",28,"3","2014","lateday","12","21",1,"Domestic Longhair","Calico",0,"Female","adult","Adoption"
"Bobby","Dog","150",1,21,6,"4",21,"1","2016","night","11","13",1,"Dachshund","Brown",0,"Male","baby","Adoption"
"Nameless","Dog","3285",0,10,17,"5",15,"11","2013","morning","4","18",1,"Siberian Husky","Gray",1,"Female","adult","Euthanasia"
"Roscoe","Dog","3285",1,11,41,"7",15,"12","2013","night","11","15",1,"Rat Terrier","White",0,"Female","adult","Return_to_owner"
"Porkchop","Dog","1095",1,14,6,"6",15,"3","2014","midday","4","12",1,"Pit Bull","Blue",1,"Male","adult","Euthanasia"
"Rocky","Dog","730",1,17,45,"5",12,"6","2015","lateday","11","11",1,"Whippet","Brown",0,"Male","adult","Adoption"
"Nameless","Cat","90",0,16,25,"1",27,"1","2014","lateday","12","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Transfer"
"Selena","Dog","4380",1,15,8,"6",17,"10","2015","midday","11","15",1,"Rat Terrier","White",0,"Female","adult","Adoption"
"Tiger Lily","Cat","270",1,11,11,"2",20,"5","2014","night","16","22",1,"Domestic Shorthair","Blue",0,"Female","baby","Transfer"
"Nameless","Cat","60",0,18,0,"2",23,"12","2014","lateday","4","22",1,"Domestic Shorthair","Blue",0,"Male","baby","Adoption"
"Orion","Cat","30",1,11,49,"4",1,"10","2015","night","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Charles","Dog","2920",1,12,45,"1",8,"12","2014","midday","3","23",1,"Chihuahua Shorthair","Tan",0,"Male","adult","Adoption"
"Molly","Dog","60",1,15,57,"5",11,"7","2014","midday","11","19",1,"Anatol Shepherd","Brown",1,"Female","baby","Transfer"
"Maggie","Dog","730",1,18,30,"2",1,"7","2014","lateday","11","13",1,"Dachshund","White",0,"Female","adult","Adoption"
"Rory","Dog","60",1,16,38,"5",27,"6","2014","lateday","10","33",1,"Labrador Retriever","Gold",0,"Female","baby","Adoption"
"He-Man","Cat","60",1,13,25,"1",13,"10","2014","midday","12","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Adoption"
"Nameless","Cat","21",0,17,10,"4",26,"6","2014","lateday","18","22",1,"Domestic Shorthair","White",1,"Male","baby","Transfer"
"Star","Dog","730",1,16,33,"2",21,"4","2015","lateday","19","12",1,"Pit Bull","Brown",0,"Female","adult","Euthanasia"
"X","Cat","365",1,11,56,"2",22,"7","2014","night","10","22",1,"Domestic Shorthair","Blue",0,"Female","baby","Transfer"
"Nameless","Cat","21",0,15,38,"2",9,"9","2014","midday","6","22",1,"Domestic Shorthair","Calico",1,"Male","baby","Transfer"
"Nameless","Cat","4380",0,10,28,"4",3,"10","2013","morning","11","22",1,"Domestic Shorthair","Brown",1,"Female","adult","Euthanasia"
"Ginger","Cat","2920",1,19,23,"3",1,"1","2014","lateday","18","22",1,"Domestic Shorthair","Orange",0,"Female","adult","Adoption"
"Sir Pounce","Cat","60",1,18,3,"7",7,"9","2014","lateday","11","24",1,"Domestic Medium Hair","Cream",0,"Male","baby","Adoption"
"Nameless","Cat","3",0,18,33,"7",6,"7","2014","lateday","10","22",1,"Domestic Shorthair","Buff",1,"Female","baby","Transfer"
"Nameless","Cat","120",0,9,0,"4",23,"10","2014","morning","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Kiki","Cat","90",1,11,22,"5",31,"1","2014","night","6","22",1,"Domestic Shorthair","Tortie",1,"Female","baby","Adoption"
"Sunny","Dog","730",1,17,11,"6",29,"3","2014","lateday","11","23",1,"Chihuahua Shorthair","Black",0,"Female","adult","Adoption"
"Nameless","Cat","30",0,18,14,"3",30,"9","2015","lateday","10","24",1,"Domestic Medium Hair","Blue",0,"Female","baby","Adoption"
"Apache","Dog","1095",1,18,40,"3",3,"9","2014","lateday","8","23",1,"Australian Shepherd","Tricolor",0,"Female","adult","Return_to_owner"
"Trippy","Dog","2190",1,17,15,"5",14,"2","2014","lateday","5","13",1,"Dachshund","Black",1,"Male","adult","Euthanasia"
"Terrance","Dog","180",1,16,56,"3",23,"10","2013","lateday","8","19",0,"Chihuahua Shorthair","Tricolor",0,"Male","baby","Return_to_owner"
"Nameless","Cat","180",0,15,56,"7",6,"4","2014","midday","4","22",1,"Domestic Shorthair","Blue",1,"Male","baby","Transfer"
"Liza","Dog","60",1,17,50,"6",10,"10","2015","lateday","9","12",1,"Pit Bull","Red",0,"Female","baby","Adoption"
"Truluck","Dog","1460",1,17,32,"2",9,"9","2014","lateday","11","26",1,"Chihuahua Shorthair","Brown",0,"Female","adult","Adoption"
"Nameless","Dog","60",0,15,11,"1",16,"6","2014","midday","3","30",1,"Plott Hound","Tan",1,"Male","baby","Transfer"
"Shadow","Cat","60",1,19,5,"3",15,"10","2014","lateday","17","22",1,"Domestic Shorthair","Brown",0,"Male","baby","Return_to_owner"
"Pumpkin","Dog","1095",1,18,50,"3",30,"7","2014","lateday","13","29",1,"Staffordshire","Brown",0,"Female","adult","Adoption"
"Nameless","Cat","120",0,9,0,"3",5,"11","2014","morning","17","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Transfer"
"Rosie","Dog","4380",1,12,35,"1",16,"2","2015","midday","9","17",0,"Yorkshire Terrier","Black",1,"Female","adult","Return_to_owner"
"Haley","Dog","730",1,17,16,"3",18,"6","2014","lateday","11","12",1,"Pit Bull","Brown",0,"Female","adult","Adoption"
"Nameless","Cat","270",0,14,37,"5",8,"1","2016","midday","6","22",1,"Domestic Shorthair","Tortie",0,"Female","baby","Transfer"
"Nameless","Cat","30",0,18,0,"7",20,"10","2013","lateday","10","21",1,"Domestic Longhair","Blue",1,"Female","baby","Euthanasia"
"Dorito","Dog","300",1,16,23,"2",30,"6","2015","lateday","11","25",1,"Australian Cattle Dog","Black",1,"Female","baby","Transfer"
"Hercules","Dog","1095",1,17,35,"3",20,"8","2014","lateday","4","10",0,"Weimaraner","Blue",1,"Male","adult","Transfer"
"Mona","Dog","730",1,13,11,"6",25,"10","2014","midday","5","23",1,"Chihuahua Shorthair","Black",0,"Female","adult","Transfer"
"Nameless","Cat","7",0,11,14,"5",25,"7","2014","night","12","22",1,"Domestic Shorthair","Orange",3,"Unknown","baby","Transfer"
"Aria","Dog","90",1,10,47,"5",28,"2","2014","morning","11","35",1,"Cardigan Welsh Corgi","White",0,"Female","baby","Adoption"
"Tyrone","Dog","730",1,18,40,"6",5,"9","2015","lateday","11","12",1,"Pit Bull","Black",0,"Male","adult","Adoption"
"Cookie","Dog","2555",1,15,57,"7",14,"9","2014","midday","11","19",1,"Podengo Pequeno","Black",0,"Male","adult","Adoption"
"Bear","Dog","3285",1,14,19,"5",3,"7","2015","midday","5","14",1,"Leonberger","Sable",0,"Male","adult","Return_to_owner"
"Cornal","Dog","3285",1,16,17,"2",7,"10","2014","lateday","9","8",0,"Pit Bull","Red",0,"Male","adult","Return_to_owner"
"Orton","Cat","60",1,15,23,"2",8,"7","2014","midday","18","22",1,"Domestic Shorthair","Orange",0,"Male","baby","Transfer"
"Bettina","Cat","60",1,20,3,"6",12,"7","2014","night","6","24",1,"Domestic Medium Hair","Calico",0,"Female","baby","Adoption"
"Hana","Dog","2190",1,14,52,"4",30,"10","2014","midday","9","19",1,"German Shepherd","Black",0,"Female","adult","Adoption"
"Bella","Dog","1095",1,11,46,"5",15,"5","2015","night","11","18",1,"Great Pyrenees","White",1,"Female","adult","Return_to_owner"
"Rocky","Dog","2190",1,17,19,"3",16,"12","2015","lateday","9","15",0,"German Shepherd","Black",0,"Male","adult","Return_to_owner"
"Nameless","Dog","7",0,15,8,"6",16,"1","2016","midday","11","23",1,"Chihuahua Shorthair","Brown",3,"Unknown","baby","Transfer"
"Monty","Dog","4380",1,16,13,"2",26,"5","2015","lateday","9","21",1,"Yorkshire Terrier","Black",0,"Male","adult","Return_to_owner"
"Scarlet","Dog","240",1,16,8,"5",22,"5","2015","lateday","9","21",1,"Australian Kelpie","Red",0,"Female","baby","Return_to_owner"
"Dakota","Dog","3650",1,14,11,"2",6,"1","2015","midday","15","32",1,"Labrador Retriever","Chocolate",0,"Female","adult","Return_to_owner"
"Charlie","Dog","730",1,13,22,"2",13,"5","2014","midday","3","34",1,"Miniature Poodle","Red",0,"Male","adult","Return_to_owner"
"Juliet","Cat","90",1,13,34,"7",6,"12","2015","midday","5","22",1,"Domestic Shorthair","Black",0,"Female","baby","Adoption"
"Juan","Cat","150",1,17,48,"7",13,"9","2015","lateday","12","22",1,"Domestic Shorthair","Orange",0,"Male","baby","Adoption"
"Rocky","Dog","365",1,17,10,"4",4,"2","2016","lateday","11","12",1,"Pit Bull","Brown",0,"Male","baby","Return_to_owner"
"Nameless","Cat","730",0,19,11,"5",8,"1","2016","lateday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","adult","Transfer"
"Nameless","Cat","730",0,9,0,"1",9,"2","2015","morning","17","18",0,"Domestic Shorthair","Brown",3,"Unknown","adult","Transfer"
"Walker","Dog","90",1,16,31,"3",1,"7","2015","lateday","11","23",1,"Chihuahua Shorthair","Black",0,"Male","baby","Adoption"
"Manches","Dog","730",1,18,59,"7",24,"8","2014","lateday","11","23",1,"Chihuahua Shorthair","White",0,"Male","adult","Return_to_owner"
"Sasha","Dog","60",1,17,25,"2",2,"12","2014","lateday","5","19",1,"German Shepherd","Cream",0,"Female","baby","Adoption"
"Candy","Dog","365",1,16,48,"6",20,"2","2016","lateday","9","23",1,"Chihuahua Shorthair","Tan",0,"Female","baby","Adoption"
"Lexi","Dog","1825",1,17,31,"7",18,"1","2015","lateday","3","23",1,"Chihuahua Shorthair","Tan",0,"Female","adult","Adoption"
"Bella","Cat","90",1,12,54,"1",9,"11","2015","midday","11","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Adoption"
"Dean","Dog","365",1,13,27,"5",23,"1","2015","midday","5","20",1,"Golden Retriever","Brown",0,"Male","baby","Return_to_owner"
"Buki","Dog","365",1,17,21,"2",27,"5","2014","lateday","5","22",1,"Labrador Retriever","Black",0,"Male","baby","Transfer"
"Jake","Dog","730",1,15,49,"1",6,"7","2015","midday","9","11",1,"Basenji","Red",0,"Male","adult","Transfer"
"Nameless","Cat","365",0,9,0,"6",6,"6","2015","morning","4","22",1,"Domestic Shorthair","Blue",3,"Unknown","baby","Transfer"
"Faline","Dog","365",1,17,1,"7",6,"4","2014","lateday","8","23",1,"Chihuahua Shorthair","Blue",0,"Female","baby","Adoption"
"X","Cat","365",1,12,48,"4",24,"7","2014","midday","11","22",1,"Domestic Shorthair","Brown",0,"Male","baby","Transfer"
"Finnegan","Dog","2190",1,9,42,"5",4,"7","2014","morning","11","11",1,"Pointer","White",0,"Male","adult","Adoption"
"Nameless","Cat","150",0,9,0,"5",29,"8","2014","morning","6","24",1,"Domestic Medium Hair","Torbie",1,"Female","baby","Transfer"
"Buster","Dog","4380",1,11,40,"1",9,"2","2015","night","5","23",1,"Miniature Schnauzer","White",0,"Male","adult","Return_to_owner"
"Nameless","Cat","14",0,12,41,"2",1,"4","2014","midday","11","22",1,"Domestic Shorthair","White",3,"Unknown","baby","Transfer"
"Nameless","Cat","14",0,12,19,"2",27,"10","2015","midday","5","24",1,"Domestic Medium Hair","Black",1,"Male","baby","Transfer"
"Pandora","Cat","365",1,16,45,"2",31,"12","2013","lateday","17","22",1,"Domestic Shorthair","Brown",0,"Female","baby","Adoption"
"Cuddlebug","Dog","150",1,13,22,"7",24,"1","2016","midday","11","23",1,"Chihuahua Shorthair","Brown",0,"Male","baby","Adoption"
"Nameless","Cat","365",0,9,0,"7",18,"1","2015","morning","17","22",1,"Domestic Shorthair","Brown",1,"Male","baby","Transfer"
"Nameless","Cat","60",0,13,34,"6",26,"12","2015","midday","6","22",1,"Domestic Shorthair","Tortie",0,"Female","baby","Adoption"
"Nameless","Cat","60",0,16,58,"6",18,"7","2015","lateday","5","21",1,"Domestic Longhair","Black",0,"Male","baby","Adoption"
"Nameless","Dog","730",0,17,2,"5",4,"7","2014","lateday","10","27",1,"Bruss Griffon","Buff",0,"Male","adult","Adoption"
"C","Dog","365",1,13,26,"6",10,"1","2015","midday","9","19",1,"Norwich Terrier","White",0,"Male","baby","Return_to_owner"
"Annie","Dog","3650",1,11,4,"5",3,"1","2014","night","13","27",1,"Labrador Retriever","Black",0,"Female","adult","Return_to_owner"
"Princess","Dog","1095",1,18,43,"2",11,"3","2014","lateday","10","36",1,"Miniature Schnauzer","Gray",0,"Female","adult","Adoption"
"Archer","Dog","4015",1,13,58,"3",21,"1","2015","midday","11","24",1,"Bernese Mountain Dog","Black",0,"Male","adult","Return_to_owner"
"Nameless","Cat","365",0,9,0,"2",1,"9","2015","morning","11","22",1,"Domestic Shorthair","Brown",1,"Female","baby","Transfer"
"Rocco","Dog","1095",1,15,27,"5",26,"12","2014","midday","9","38",1,"Miniature Pinscher","Tan",0,"Male","adult","Transfer"
"Thunderdog","Dog","1095",1,14,30,"3",8,"1","2014","midday","11","22",1,"Labrador Retriever","Brown",0,"Male","adult","Return_to_owner"
"Lucy","Dog","1825",1,17,4,"4",10,"10","2013","lateday","11","23",1,"Chihuahua Shorthair","White",0,"Female","adult","Transfer"
"Myrtle","Dog","365",1,13,57,"4",16,"4","2015","midday","9","9",1,"Boxer","Red",1,"Female","baby","Transfer"
"Mason","Cat","180",1,10,47,"3",9,"9","2015","morning","12","24",1,"Domestic Medium Hair","Orange",0,"Male","baby","Adoption"
"Sugar","Dog","730",1,18,56,"6",21,"11","2015","lateday","3","35",1,"Chihuahua Shorthair","Tan",0,"Female","adult","Adoption"
"Nameless","Cat","3",0,13,9,"5",28,"3","2014","midday","5","22",1,"Domestic Shorthair","Black",1,"Male","baby","Transfer"
"Oso","Dog","90",1,13,14,"6",3,"10","2015","midday","5","17",1,"Border Collie","Black",0,"Male","baby","Transfer"
"Teddy","Dog","2190",1,16,29,"2",11,"2","2014","lateday","9","12",1,"Pit Bull","Red",1,"Male","adult","Euthanasia"
"Nameless","Cat","365",0,14,41,"1",6,"4","2015","midday","10","22",1,"Domestic Shorthair","Blue",1,"Female","baby","Transfer"
"Angel","Dog","3285",1,18,14,"1",10,"3","2014","lateday","11","12",1,"Shih Tzu","White",1,"Female","adult","Euthanasia"
"Guzman","Dog","730",1,15,24,"3",15,"10","2014","midday","11","18",1,"Boston Terrier","Black",1,"Male","adult","Return_to_owner"
"Cookie","Cat","60",1,12,6,"2",29,"9","2015","midday","11","22",1,"Domestic Shorthair","White",1,"Female","baby","Adoption"
"Nameless","Dog","1825",0,17,22,"5",16,"10","2015","lateday","4","37",1,"Yorkshire Terrier","Gray",0,"Female","adult","Adoption"
"Kelly","Cat","90",1,12,42,"4",10,"7","2014","midday","6","22",1,"Domestic Shorthair","Torbie",0,"Female","baby","Adoption"
"Buster","Dog","210",1,17,37,"6",17,"5","2014","lateday","9","29",1,"Chihuahua Shorthair","Tan",0,"Male","baby","Adoption"
"Nameless","Cat","7",0,14,28,"6",12,"9","2015","midday","11","22",1,"Domestic Shorthair","Brown",3,"Unknown","baby","Transfer"
"Mina","Dog","210",1,18,58,"4",24,"4","2014","lateday","6","35",1,"Labrador Retriever","Yellow",0,"Female","baby","Adoption"
"Nameless","Cat","14",0,19,24,"3",6,"8","2014","lateday","12","22",1,"Domestic Shorthair","Silver",1,"Male","baby","Transfer"
"Cupcake","Cat","90",1,15,17,"3",19,"8","2015","midday","5","22",1,"Domestic Shorthair","Black",0,"Male","baby","Adoption"
"Nameless","Cat","365",0,17,29,"7",13,"7","2014","lateday","10","13",1,"Himalayan","Lynx",0,"Female","baby","Adoption"
"Sydney","Dog","150",1,18,59,"7",24,"1","2016","lateday","9","34",1,"Labrador Retriever","White",0,"Female","baby","Adoption"
"Thomas","Cat","60",1,18,12,"6",6,"12","2014","lateday","11","21",1,"Domestic Longhair","Brown",0,"Male","baby","Adoption"
"Twinkie","Dog","1095",1,12,41,"5",5,"9","2014","midday","10","12",1,"Shih Tzu","White",1,"Female","adult","Transfer"
"Nameless","Cat","28",0,12,4,"6",26,"10","2013","midday","16","21",1,"Domestic Longhair","Blue",3,"Unknown","baby","Transfer"
"Moki","Dog","2190",1,13,49,"6",1,"2","2014","midday","9","23",1,"Australian Shepherd","Brown",0,"Female","adult","Adoption"
"Nameless","Cat","240",0,9,0,"6",12,"9","2015","morning","5","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Transfer"
"Squeakers","Cat","4015",1,11,27,"6",12,"10","2013","night","5","22",1,"Domestic Shorthair","Black",0,"Female","adult","Adoption"
"Red Tex","Cat","30",1,12,39,"6",26,"10","2013","midday","12","22",1,"Domestic Shorthair","Orange",1,"Male","baby","Adoption"
"Jerry","Cat","60",1,17,25,"3",13,"8","2014","lateday","12","22",1,"Domestic Shorthair","Orange",0,"Male","baby","Adoption"
"Nameless","Cat","150",0,19,2,"3",23,"12","2015","lateday","11","22",1,"Domestic Shorthair","White",0,"Female","baby","Transfer"
"Nameless","Dog","730",0,0,0,"4",5,"11","2015","night","9","12",1,"Pit Bull","Red",1,"Male","adult","Transfer"
"Nameless","Cat","240",0,9,0,"5",19,"6","2015","morning","11","22",1,"Domestic Shorthair","Black",3,"Unknown","baby","Transfer"
"Nameless","Dog","730",0,18,21,"1",9,"6","2014","lateday","5","16",0,"Miniature Poodle","White",1,"Female","adult","Euthanasia"
"Jelly Bean","Dog","120",1,18,31,"3",23,"9","2015","lateday","10","37",1,"Yorkshire Terrier","Tan",0,"Female","baby","Adoption"
"Princess","Dog","3285",1,15,46,"1",24,"2","2014","midday","5","22",1,"Miniature Pinscher","Brown",1,"Female","adult","Transfer"
