"ID","Name","OutcomeType","AnimalType","SexuponOutcome","Breed","Color","isTrain","AgeinDays","NameNoName","Year","Month","Day","Hour","Minute","DayOfTheWeek","WeekEnd","Situation","Sex","DayPhase","BreedSimplified","LifePhase"
"A695883","","Euthanasia","Dog","Neutered Male","GermanShepherdMix","Brown/Black",TRUE,"1825","FALSE","2015","02","05","18","31","5","FALSE","Neutered","Male","afternoon","Mix","adult"
"A708520","Estelle","Adoption","Dog","Spayed Female","ChihuahuaShorthair","Tan",TRUE,"2190","TRUE","2015","08","03","13","23","2","FALSE","Spayed","Female","afternoon","Pure","adult"
"A666272","","Euthanasia","Dog","Intact Female","ChihuahuaLonghairMix","Brown",TRUE,"30","FALSE","2013","10","29","18","56","3","FALSE","Intact","Female","afternoon","Mix","gestation"
"A684922","Ellie","Adoption","Dog","Spayed Female","IrishTerrier/LabradorRetriever","Brown/White",TRUE,"300","TRUE","2014","08","07","13","36","5","FALSE","Spayed","Female","afternoon","Hybrid","puppy"
"A664844","Watson","Adoption","Dog","Neutered Male","PitBullMix","White/Tan",TRUE,"120","TRUE","2013","10","20","18","09","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A692984","Hannah","Return_to_owner","Dog","Spayed Female","GermanShepherdMix","Red/White",TRUE,"3285","TRUE","2014","12","02","17","01","3","FALSE","Spayed","Female","afternoon","Mix","senior"
"A702253","","Adoption","Dog","Neutered Male","QueenslandHeelerMix","Brown",TRUE,"730","FALSE","2015","05","23","17","15","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A696381","Tiger","Euthanasia","Dog","Neutered Male","PitBullMix","Tan/Brown Brindle",TRUE,"1825","TRUE","2015","06","27","15","27","7","TRUE","Neutered","Male","afternoon","Mix","adult"
"A719185","Betty","Adoption","Dog","Spayed Female","PointerMix","White/Black",TRUE,"365","TRUE","2016","02","15","14","39","2","FALSE","Spayed","Female","afternoon","Mix","adolescent"
"A666373","Nitro","Transfer","Dog","Neutered Male","MiniaturePinscher","Blue/Tan",TRUE,"730","TRUE","2013","11","29","12","27","6","FALSE","Neutered","Male","afternoon","Pure","adult"
"A663438","Bonny","Adoption","Dog","Spayed Female","LabradorRetrieverMix","Sable",TRUE,"2555","TRUE","2014","06","14","16","40","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A699786","","Transfer","Dog","Intact Male","ShihTzu","White/Brown Brindle",TRUE,"730","FALSE","2015","04","02","17","25","5","FALSE","Intact","Male","afternoon","Pure","adult"
"A673658","","Adoption","Dog","Spayed Female","AustralianShepherdMix","Black/White",TRUE,"120","FALSE","2014","03","03","16","53","2","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A688146","John Boy","Adoption","Dog","Neutered Male","Catahoula/ChineseSharpei","White/Brown",TRUE,"730","TRUE","2014","12","09","18","50","3","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A698701","","Adoption","Dog","Spayed Female","Whippet/JackRussellTerrier","White/Brown",TRUE,"365","FALSE","2015","03","20","13","59","6","FALSE","Spayed","Female","afternoon","Hybrid","adolescent"
"A695689","Jameson","Return_to_owner","Dog","Neutered Male","LabradorRetriever/AustralianKelpie","Tan",TRUE,"270","TRUE","2015","01","21","18","14","4","FALSE","Neutered","Male","afternoon","Hybrid","puppy"
"A672142","Toby","Transfer","Dog","Intact Male","Pekingese","Red/White",TRUE,"1825","TRUE","2014","02","08","10","14","7","TRUE","Intact","Male","morning","Pure","adult"
"A702757","Mellow","Return_to_owner","Dog","Spayed Female","CatahoulaMix","Blue Merle/White",TRUE,"730","TRUE","2015","06","09","17","48","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A610401","Lady","Return_to_owner","Dog","Spayed Female","JackRussellTerrier","White/Brown",TRUE,"2920","TRUE","2015","06","22","19","23","2","FALSE","Spayed","Female","afternoon","Pure","adult"
"A648872","Beckham","Adoption","Dog","Neutered Male","BullmastiffMix","Black/White",TRUE,"730","TRUE","2014","05","05","17","36","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A686717","Shadow","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Black",TRUE,"120","TRUE","2014","09","07","17","40","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A661638","Apollo","Return_to_owner","Dog","Neutered Male","GermanShepherd/CardiganWelshCorgi","Sable",TRUE,"2190","TRUE","2014","09","18","13","51","5","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A670064","","Died","Dog","Intact Female","PitBull/PitBull","Red",TRUE,"90","FALSE","2014","01","03","16","33","6","FALSE","Intact","Female","afternoon","Hybrid","puppy"
"A672576","","Adoption","Dog","Neutered Male","GermanShepherd","Brown/Red",TRUE,"730","FALSE","2014","02","16","17","18","1","TRUE","Neutered","Male","afternoon","Pure","adult"
"A696064","Petey","Return_to_owner","Dog","Neutered Male","JackRussellTerrierMix","White/Brown",TRUE,"3650","TRUE","2015","02","04","16","23","4","FALSE","Neutered","Male","afternoon","Mix","senior"
"A704857","","Transfer","Dog","Intact Female","LabradorRetrieverMix","Black",TRUE,"30","FALSE","2015","06","12","16","58","6","FALSE","Intact","Female","afternoon","Mix","gestation"
"A700376","Luna","Adoption","Dog","Spayed Female","GermanShepherdMix","Black",TRUE,"365","TRUE","2015","05","09","19","05","7","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A700399","Chico","Return_to_owner","Dog","Neutered Male","DachshundMix","Red",TRUE,"1825","TRUE","2015","04","13","12","12","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A677299","","Transfer","Dog","Neutered Male","DachshundMix","Blue Merle",TRUE,"730","FALSE","2014","04","28","15","08","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A709580","Champ","Return_to_owner","Dog","Neutered Male","BostonTerrier","Black/White",TRUE,"6205","TRUE","2015","08","11","16","26","3","FALSE","Neutered","Male","afternoon","Pure","senior"
"A694650","Betsy","Return_to_owner","Dog","Spayed Female","Boxer/AmericanStaffordshireTerrier","Brown Brindle/White",TRUE,"240","TRUE","2015","01","03","18","21","7","TRUE","Spayed","Female","afternoon","Hybrid","puppy"
"A673232","King","Adoption","Dog","Neutered Male","GermanShepherdMix","Black/Tan",TRUE,"365","TRUE","2014","12","29","07","12","2","FALSE","Neutered","Male","morning","Mix","adolescent"
"A678526","Joanie","Return_to_owner","Dog","Spayed Female","Pug","Black",TRUE,"1460","TRUE","2014","05","11","17","34","1","TRUE","Spayed","Female","afternoon","Pure","adult"
"A704698","","Adoption","Dog","Neutered Male","GermanShepherdMix","Black/Tan",TRUE,"60","FALSE","2015","06","12","17","27","6","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A720002","Mya","Return_to_owner","Dog","Intact Female","PitBullMix","Black/White",TRUE,"2555","TRUE","2016","02","04","17","05","5","FALSE","Intact","Female","afternoon","Mix","adult"
"A647210","Tank","Euthanasia","Dog","Neutered Male","PitBullMix","Brown Brindle/White",TRUE,"1095","TRUE","2014","07","20","12","06","1","TRUE","Neutered","Male","afternoon","Mix","adult"
"A668597","","Transfer","Dog","Intact Male","RottweilerMix","Black/White",TRUE,"30","FALSE","2013","12","06","11","30","6","FALSE","Intact","Male","morning","Mix","gestation"
"A716761","Rudolf","Transfer","Dog","Intact Male","BorderCollieMix","Black/White",TRUE,"180","TRUE","2015","12","06","14","55","1","TRUE","Intact","Male","afternoon","Mix","puppy"
"A718520","Martinet","Adoption","Dog","Neutered Male","LhasaApso/MiniaturePoodle","Black",TRUE,"1095","TRUE","2016","01","19","11","58","3","FALSE","Neutered","Male","morning","Hybrid","adult"
"A715213","","Adoption","Dog","Neutered Male","CockerSpaniel/LabradorRetriever","Brown/White",TRUE,"60","FALSE","2015","11","04","18","00","4","FALSE","Neutered","Male","afternoon","Hybrid","gestation"
"A690038","Nicole","Transfer","Dog","Spayed Female","CockerSpanielMix","Red",TRUE,"730","TRUE","2014","12","03","16","08","4","FALSE","Spayed","Female","afternoon","Mix","adult"
"A673328","Harper","Adoption","Dog","Spayed Female","CarolinaDogMix","Tan",TRUE,"60","TRUE","2014","02","26","17","02","4","FALSE","Spayed","Female","afternoon","Mix","gestation"
"A712452","Lucy Lou","Adoption","Dog","Spayed Female","ChihuahuaShorthair/Dachshund","Red/White",TRUE,"1825","TRUE","2015","11","14","18","16","7","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A498100","Rusty","Return_to_owner","Dog","Neutered Male","ParsonRussellTerrier","White/Brown",TRUE,"2555","TRUE","2015","09","01","13","25","3","FALSE","Neutered","Male","afternoon","Pure","adult"
"A669782","Jake","Adoption","Dog","Neutered Male","LabradorRetriever/GreatPyrenees","Yellow",TRUE,"730","TRUE","2015","03","24","16","44","3","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A686293","Cali","Euthanasia","Dog","Spayed Female","PitBullMix","Black/White",TRUE,"1095","TRUE","2014","08","29","17","44","6","FALSE","Spayed","Female","afternoon","Mix","adult"
"A690865","","Adoption","Dog","Spayed Female","PitBullMix","Blue/White",TRUE,"90","FALSE","2014","10","31","17","13","6","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A673414","Rico","Return_to_owner","Dog","Neutered Male","AustralianShepherdMix","Tricolor",TRUE,"1825","TRUE","2014","02","23","18","33","1","TRUE","Neutered","Male","afternoon","Mix","adult"
"A681390","","Adoption","Dog","Intact Male","WireHairFoxTerrierMix","White/Tan",TRUE,"150","FALSE","2014","06","19","19","17","5","FALSE","Intact","Male","afternoon","Mix","puppy"
"A720172","Sammi","Adoption","Dog","Spayed Female","TreeingTennesseBrindle","Brown Brindle/White",TRUE,"270","TRUE","2016","02","15","17","43","2","FALSE","Spayed","Female","afternoon","Pure","puppy"
"A693251","Shelby","Transfer","Dog","Neutered Male","RatTerrierMix","White/Black",TRUE,"1825","TRUE","2014","12","19","17","07","6","FALSE","Neutered","Male","afternoon","Mix","adult"
"A702280","Ace","Adoption","Dog","Neutered Male","LabradorRetrieverMix","Black/White",TRUE,"60","TRUE","2015","05","15","17","44","6","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A687047","Bambi","Return_to_owner","Dog","Intact Female","AustralianCattleDogMix","Brown",TRUE,"3650","TRUE","2014","08","31","15","34","1","TRUE","Intact","Female","afternoon","Mix","senior"
"A710383","Gemma","Adoption","Dog","Spayed Female","RatTerrierMix","White/Tan",TRUE,"730","TRUE","2015","09","13","15","27","1","TRUE","Spayed","Female","afternoon","Mix","adult"
"A692367","","Transfer","Dog","Spayed Female","Dachshund","Red",TRUE,"1825","FALSE","2014","11","25","13","38","3","FALSE","Spayed","Female","afternoon","Pure","adult"
"A710780","Hendrix","Return_to_owner","Dog","Neutered Male","CatahoulaMix","Blue Merle/Brown",TRUE,"730","TRUE","2015","08","28","16","51","6","FALSE","Neutered","Male","afternoon","Mix","adult"
"A667163","Porky","Return_to_owner","Dog","Spayed Female","EnglishBulldog","White/Brown Brindle",TRUE,"730","TRUE","2013","11","15","17","40","6","FALSE","Spayed","Female","afternoon","Pure","adult"
"A671096","Ellie","Transfer","Dog","Spayed Female","BoxerMix","Brown Brindle/White",TRUE,"2190","TRUE","2014","01","20","15","14","2","FALSE","Spayed","Female","afternoon","Mix","adult"
"A687345","Buster","Adoption","Dog","Neutered Male","WhippetMix","White/Tan",TRUE,"120","TRUE","2014","09","07","18","15","1","TRUE","Neutered","Male","afternoon","Mix","puppy"
"A663966","","Adoption","Dog","Spayed Female","AmericanBulldogMix","Brown/White",TRUE,"120","FALSE","2014","01","30","12","03","5","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A716676","","Adoption","Dog","Spayed Female","RatTerrierMix","Tricolor",TRUE,"730","FALSE","2015","11","29","18","44","1","TRUE","Spayed","Female","afternoon","Mix","adult"
"A673460","","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Chocolate/Tan",TRUE,"60","FALSE","2014","04","04","09","01","6","FALSE","Spayed","Female","morning","Mix","gestation"
"A666911","Bear","Adoption","Dog","Neutered Male","GoldenRetrieverMix","Gold",TRUE,"60","TRUE","2013","11","10","16","54","1","TRUE","Neutered","Male","afternoon","Mix","gestation"
"A608858","Spike","Return_to_owner","Dog","Intact Male","PitBullMix","White/Chocolate",TRUE,"1460","TRUE","2015","04","07","15","30","3","FALSE","Intact","Male","afternoon","Mix","adult"
"A695804","Francis","Transfer","Dog","Neutered Male","ChihuahuaShorthairMix","Tricolor",TRUE,"730","TRUE","2015","02","26","11","12","5","FALSE","Neutered","Male","morning","Mix","adult"
"A706957","","Euthanasia","Dog","Intact Female","ShetlandSheepdogMix","Brown",TRUE,"3285","FALSE","2015","07","07","10","07","3","FALSE","Intact","Female","morning","Mix","senior"
"A665737","Milo","Adoption","Dog","Neutered Male","DachshundWirehair/MiniatureSchnauzer","Black/Silver",TRUE,"365","TRUE","2013","10","31","17","48","5","FALSE","Neutered","Male","afternoon","Hybrid","adolescent"
"A680793","Cocco","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","Brown",TRUE,"730","TRUE","2014","06","17","16","33","3","FALSE","Neutered","Male","afternoon","Mix","adult"
"A700089","Red","Return_to_owner","Dog","Neutered Male","AustralianCattleDogMix","Red Tick",TRUE,"365","TRUE","2015","04","08","18","21","4","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A698556","Buddy","Adoption","Dog","Neutered Male","LabradorRetriever/Boxer","Black/White",TRUE,"30","TRUE","2015","05","09","12","29","7","TRUE","Neutered","Male","afternoon","Hybrid","gestation"
"A713334","Bug","Transfer","Dog","Intact Female","ChihuahuaShorthairMix","Tan",TRUE,"30","TRUE","2015","10","12","12","19","2","FALSE","Intact","Female","afternoon","Mix","gestation"
"A719023","Elvis","Return_to_owner","Dog","Neutered Male","CardiganWelshCorgiMix","Red/White",TRUE,"730","TRUE","2016","01","12","18","04","3","FALSE","Neutered","Male","afternoon","Mix","adult"
"A690084","Dodger","Transfer","Dog","Intact Male","BorderCollie/LabradorRetriever","Black/White",TRUE,"365","TRUE","2014","10","20","13","06","2","FALSE","Intact","Male","afternoon","Hybrid","adolescent"
"A689602","Copper","Adoption","Dog","Neutered Male","MiniaturePinscher/ChihuahuaShorthair","Tan/Brown",TRUE,"30","TRUE","2014","11","23","18","36","1","TRUE","Neutered","Male","afternoon","Hybrid","gestation"
"A715754","","Adoption","Dog","Neutered Male","DachshundMix","Black/Tan",TRUE,"30","FALSE","2015","11","18","12","27","4","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A686302","Peanut","Return_to_owner","Dog","Neutered Male","DachshundLonghair","Black/Tan",TRUE,"1095","TRUE","2014","08","22","18","12","6","FALSE","Neutered","Male","afternoon","Pure","adult"
"A671081","Toodles","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Black/White",TRUE,"730","TRUE","2014","06","28","13","29","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A672598","Lola","Adoption","Dog","Spayed Female","Vizsla/GoldenRetriever","Red/Black",TRUE,"180","TRUE","2014","02","21","18","47","6","FALSE","Spayed","Female","afternoon","Hybrid","puppy"
"A673779","Ron","Adoption","Dog","Neutered Male","AnatolShepherdMix","Tan/Black",TRUE,"365","TRUE","2014","03","13","13","15","5","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A677957","Coco","Return_to_owner","Dog","Spayed Female","LabradorRetrieverMix","Chocolate",TRUE,"1460","TRUE","2014","05","03","12","20","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A709908","Tiger","Transfer","Dog","Intact Male","Pug","Fawn",TRUE,"1095","TRUE","2015","08","18","11","37","3","FALSE","Intact","Male","morning","Pure","adult"
"A678805","","Transfer","Dog","Neutered Male","Pomeranian","Red/Tan",TRUE,"4380","FALSE","2014","05","16","16","02","6","FALSE","Neutered","Male","afternoon","Pure","senior"
"A685176","Forrest","Euthanasia","Dog","Intact Male","RedboneHoundMix","Tan/White",TRUE,"90","TRUE","2014","08","27","17","38","4","FALSE","Intact","Male","afternoon","Mix","puppy"
"A647854","Kona","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","Tan",TRUE,"330","TRUE","2013","12","23","12","00","2","FALSE","Neutered","Male","afternoon","Mix","puppy"
"A715828","Zeus","Adoption","Dog","Intact Male","LabradorRetrieverMix","Gold",TRUE,"1825","TRUE","2015","11","27","16","31","6","FALSE","Intact","Male","afternoon","Mix","adult"
"A694821","Rocko","Return_to_owner","Dog","Neutered Male","RottweilerMix","Black/Tan",TRUE,"730","TRUE","2015","01","07","07","26","4","FALSE","Neutered","Male","morning","Mix","adult"
"A674770","Robert","Return_to_owner","Dog","Intact Male","AmericanBulldogMix","White/Tan",TRUE,"2555","TRUE","2014","03","18","19","00","3","FALSE","Intact","Male","afternoon","Mix","adult"
"A671868","Oso","Return_to_owner","Dog","Neutered Male","GoldenRetriever","Yellow",TRUE,"730","TRUE","2014","02","03","18","14","2","FALSE","Neutered","Male","afternoon","Pure","adult"
"A667103","Pokey","Transfer","Dog","Spayed Female","BeagleMix","Tricolor",TRUE,"3285","TRUE","2013","11","14","13","02","5","FALSE","Spayed","Female","afternoon","Mix","senior"
"A667298","Sadie","Adoption","Dog","Spayed Female","Dachshund/ChihuahuaShorthair","Red",TRUE,"730","TRUE","2013","11","30","15","46","7","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A719857","Mamas","Return_to_owner","Dog","Intact Female","PitBullMix","White/Black",TRUE,"365","TRUE","2016","02","01","18","09","2","FALSE","Intact","Female","afternoon","Mix","adolescent"
"A713420","","Transfer","Dog","Intact Female","AustralianCattleDogMix","Brown/White",TRUE,"60","FALSE","2015","10","07","08","32","4","FALSE","Intact","Female","morning","Mix","gestation"
"A711356","J.D.","Transfer","Dog","Neutered Male","LabradorRetrieverMix","Chocolate",TRUE,"2190","TRUE","2015","09","11","13","50","6","FALSE","Neutered","Male","afternoon","Mix","adult"
"A657489","Floyd","Return_to_owner","Dog","Intact Male","PitBullMix","White/Black",TRUE,"1460","TRUE","2015","01","24","12","55","7","TRUE","Intact","Male","afternoon","Mix","adult"
"A716101","Mickey","Adoption","Dog","Neutered Male","YorkshireTerrier/ChihuahuaLonghair","White/Tan",TRUE,"365","TRUE","2015","11","21","17","23","7","TRUE","Neutered","Male","afternoon","Hybrid","adolescent"
"A696779","Penelope","Transfer","Dog","Spayed Female","AustralianCattleDog/Catahoula","Blue Merle",TRUE,"365","TRUE","2015","02","19","14","58","5","FALSE","Spayed","Female","afternoon","Hybrid","adolescent"
"A707195","Beans","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","White/Brown",TRUE,"1825","TRUE","2015","07","14","12","31","3","FALSE","Neutered","Male","afternoon","Mix","adult"
"A679036","Turbo","Adoption","Dog","Neutered Male","ChihuahuaShorthair/Dachshund","Brown Brindle/White",TRUE,"300","TRUE","2014","05","20","17","00","3","FALSE","Neutered","Male","afternoon","Hybrid","puppy"
"A705119","","Transfer","Dog","Intact Male","GermanShepherdMix","Black/White",TRUE,"2","FALSE","2015","06","13","15","19","7","TRUE","Intact","Male","afternoon","Mix","gestation"
"A684048","Daisy","Return_to_owner","Dog","Spayed Female","MiniaturePoodleMix","Tan",TRUE,"365","TRUE","2014","07","27","17","42","1","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A666514","Orson","Adoption","Dog","Neutered Male","ChowChow/LabradorRetriever","Brown",TRUE,"730","TRUE","2013","11","25","16","57","2","FALSE","Neutered","Male","afternoon","Hybrid","adult"
"A667353","Zeus","Return_to_owner","Dog","Intact Male","StaffordshireMix","Blue/White",TRUE,"330","TRUE","2013","11","17","12","06","1","TRUE","Intact","Male","afternoon","Mix","puppy"
"A694046","Cat Woman","Return_to_owner","Dog","Spayed Female","LabradorRetriever","Black/White",TRUE,"365","TRUE","2014","12","27","17","20","7","TRUE","Spayed","Female","afternoon","Pure","adolescent"
"A658199","Marley","Euthanasia","Dog","Neutered Male","PitBullMix","White/Brown Brindle",TRUE,"730","TRUE","2013","10","18","09","52","6","FALSE","Neutered","Male","morning","Mix","adult"
"A669542","","Adoption","Dog","Neutered Male","CockerSpanielMix","Brown",TRUE,"60","FALSE","2013","12","23","19","11","2","FALSE","Neutered","Male","afternoon","Mix","gestation"
"A718180","Milo","Transfer","Dog","Neutered Male","LabradorRetrieverMix","Brown",TRUE,"730","TRUE","2016","01","05","00","00","3","FALSE","Neutered","Male","night","Mix","adult"
"A702339","Ayo","Return_to_owner","Dog","Intact Male","AmericanBulldogMix","White/Brown",TRUE,"365","TRUE","2015","10","10","11","08","7","TRUE","Intact","Male","morning","Mix","adolescent"
"A673992","Rebel","Return_to_owner","Dog","Neutered Male","GermanShepherd","Tan/Black",TRUE,"730","TRUE","2014","03","08","13","04","7","TRUE","Neutered","Male","afternoon","Pure","adult"
"A702279","Lulu","Adoption","Dog","Spayed Female","LabradorRetrieverMix","Black/White",TRUE,"60","TRUE","2015","05","17","13","33","1","TRUE","Spayed","Female","afternoon","Mix","gestation"
"A699662","Lana","Adoption","Dog","Spayed Female","PitBullMix","Brown/White",TRUE,"300","TRUE","2015","04","07","15","00","3","FALSE","Spayed","Female","afternoon","Mix","puppy"
"A693037","Max","Return_to_owner","Dog","Intact Male","BoxerMix","Brown Brindle",TRUE,"1460","TRUE","2014","12","11","18","25","5","FALSE","Intact","Male","afternoon","Mix","adult"
"A716286","","Transfer","Dog","Intact Female","ChihuahuaShorthairMix","Tan",TRUE,"150","FALSE","2015","11","19","17","09","5","FALSE","Intact","Female","afternoon","Mix","puppy"
"A683460","","Transfer","Dog","Intact Female","LabradorRetrieverMix","Black/White",TRUE,"21","FALSE","2014","07","21","18","09","2","FALSE","Intact","Female","afternoon","Mix","gestation"
"A679069","Elsie","Transfer","Dog","Spayed Female","GermanShepherdMix","Brown/Black",TRUE,"1095","TRUE","2014","06","03","12","27","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A676287","","Transfer","Dog","Spayed Female","JackRussellTerrierMix","White",TRUE,"1460","FALSE","2014","04","13","14","15","1","TRUE","Spayed","Female","afternoon","Mix","adult"
"A710732","Tilly","Adoption","Dog","Spayed Female","Boxer/EnglishBulldog","Brown Brindle/White",TRUE,"3650","TRUE","2015","09","12","13","07","7","TRUE","Spayed","Female","afternoon","Hybrid","senior"
"A701156","Elizabeth","Transfer","Dog","Intact Female","TibetanSpanielMix","Red",TRUE,"730","TRUE","2015","04","27","17","18","2","FALSE","Intact","Female","afternoon","Mix","adult"
"A672483","Bones","Adoption","Dog","Neutered Male","PitBullMix","Tan/White",TRUE,"365","TRUE","2014","08","26","15","05","3","FALSE","Neutered","Male","afternoon","Mix","adolescent"
"A646917","Rocco","Transfer","Dog","Neutered Male","PitBullMix","Black/White",TRUE,"365","TRUE","2013","10","14","11","57","2","FALSE","Neutered","Male","morning","Mix","adolescent"
"A717573","Gizmo","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","Yellow Brindle",TRUE,"1825","TRUE","2015","12","16","16","47","4","FALSE","Neutered","Male","afternoon","Mix","adult"
"A687173","Sparky","Transfer","Dog","Intact Female","AustralianShepherdMix","Brown Merle",TRUE,"730","TRUE","2014","09","05","12","37","6","FALSE","Intact","Female","afternoon","Mix","adult"
"A706845","Big Red","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","Sable/Black",TRUE,"30","TRUE","2015","08","30","11","22","1","TRUE","Neutered","Male","morning","Mix","gestation"
"A676132","Blizzard","Transfer","Dog","Neutered Male","LabradorRetriever/ChowChow","Black",TRUE,"150","TRUE","2014","04","15","16","00","3","FALSE","Neutered","Male","afternoon","Hybrid","puppy"
"A699501","Dexter","Adoption","Dog","Intact Male","StandardPoodle","Black",TRUE,"730","TRUE","2015","04","01","18","01","4","FALSE","Intact","Male","afternoon","Pure","adult"
"A694148","Wes","Return_to_owner","Dog","Neutered Male","BorderCollie","Black/White",TRUE,"1095","TRUE","2014","12","22","18","05","2","FALSE","Neutered","Male","afternoon","Pure","adult"
"A699084","Ella","Return_to_owner","Dog","Spayed Female","LabradorRetrieverMix","Black/White",TRUE,"1825","TRUE","2015","03","24","12","59","3","FALSE","Spayed","Female","afternoon","Mix","adult"
"A683462","","Transfer","Dog","Intact Female","LabradorRetrieverMix","White",TRUE,"21","FALSE","2014","07","21","18","09","2","FALSE","Intact","Female","afternoon","Mix","gestation"
"A682291","Dimond","Return_to_owner","Dog","Intact Female","RottweilerMix","Black/Tan",TRUE,"2920","TRUE","2014","06","28","14","20","7","TRUE","Intact","Female","afternoon","Mix","adult"
"A694514","","Adoption","Dog","Neutered Male","ChihuahuaShorthairMix","White/Black",TRUE,"365","FALSE","2015","01","03","11","20","7","TRUE","Neutered","Male","morning","Mix","adolescent"
"A676432","Tiny","Return_to_owner","Dog","Spayed Female","ChihuahuaShorthairMix","Black",TRUE,"730","TRUE","2014","04","12","18","43","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A716618","Killer","Return_to_owner","Dog","Neutered Male","GermanShepherdMix","Black/Tan",TRUE,"730","TRUE","2015","11","27","17","36","6","FALSE","Neutered","Male","afternoon","Mix","adult"
"A681063","Ellie","Return_to_owner","Dog","Spayed Female","ToyPoodleMix","White/Black",TRUE,"4380","TRUE","2014","06","12","12","26","5","FALSE","Spayed","Female","afternoon","Mix","senior"
"A676290","Beatrice","Return_to_owner","Dog","Spayed Female","PitBullMix","Brown/Tan",TRUE,"365","TRUE","2014","04","28","12","18","2","FALSE","Spayed","Female","afternoon","Mix","adolescent"
"A697978","Mira","Adoption","Dog","Spayed Female","ChihuahuaShorthairMix","Black/White",TRUE,"365","TRUE","2015","03","08","17","16","1","TRUE","Spayed","Female","afternoon","Mix","adolescent"
"A589273","Salem","Return_to_owner","Dog","Spayed Female","PitBullMix","White/Brown Brindle",TRUE,"2190","TRUE","2014","11","12","14","18","4","FALSE","Spayed","Female","afternoon","Mix","adult"
"A664471","Bosco","Adoption","Dog","Neutered Male","AmericanBulldogMix","White/Black",TRUE,"730","TRUE","2015","03","02","16","52","2","FALSE","Neutered","Male","afternoon","Mix","adult"
"A713127","Coco","Return_to_owner","Dog","Spayed Female","BoxerMix","White/Brown Brindle",TRUE,"1095","TRUE","2015","10","03","18","52","7","TRUE","Spayed","Female","afternoon","Mix","adult"
"A698473","Oreo","Euthanasia","Dog","Neutered Male","ChihuahuaShorthairMix","Black/White",TRUE,"365","TRUE","2015","03","14","12","50","7","TRUE","Neutered","Male","afternoon","Mix","adolescent"
"A674830","Mundo","Return_to_owner","Dog","Neutered Male","JackRussellTerrierMix","Tricolor",TRUE,"4380","TRUE","2014","03","19","12","01","4","FALSE","Neutered","Male","afternoon","Mix","senior"
"A674846","Leelou","Return_to_owner","Dog","Spayed Female","BostonTerrierMix","Black/White",TRUE,"1095","TRUE","2014","03","20","17","59","5","FALSE","Spayed","Female","afternoon","Mix","adult"
"A687078","Remington","Return_to_owner","Dog","Intact Male","PitBullMix","Black/White",TRUE,"210","TRUE","2014","08","31","11","22","1","TRUE","Intact","Male","morning","Mix","puppy"
"A704504","Oogie","Transfer","Dog","Neutered Male","ItalianGreyhound","Black/White",TRUE,"2920","TRUE","2015","06","08","12","50","2","FALSE","Neutered","Male","afternoon","Pure","adult"
"A669000","Pop-Tart","Adoption","Dog","Spayed Female","PitBull/Boxer","Black/White",TRUE,"730","TRUE","2014","02","16","19","22","1","TRUE","Spayed","Female","afternoon","Hybrid","adult"
"A704211","Sage","Adoption","Dog","Spayed Female","GermanShepherd/LabradorRetriever","Buff",TRUE,"1095","TRUE","2015","10","19","16","48","2","FALSE","Spayed","Female","afternoon","Hybrid","adult"
"A708217","Missy","Transfer","Dog","Intact Female","ChihuahuaShorthairMix","Brown",TRUE,"2555","TRUE","2015","08","22","11","32","7","TRUE","Intact","Female","morning","Mix","adult"
